iter	Passed	Remaining
399	58334	14583
400	58483	14438
401	58634	14293
402	58807	14154
403	58965	14011
404	59073	13856
405	59220	13711
406	59366	13565
407	59532	13423
408	59681	13278
409	59844	13136
410	60012	12995
411	60167	12851
412	60321	12706
413	60468	12561
414	60604	12412
415	60757	12268
416	60890	12119
417	61032	11972
418	61203	11831
419	61365	11688
420	61511	11542
421	61652	11395
422	61802	11250
423	61954	11105
424	62107	10960
425	62275	10817
426	62445	10675
427	62584	10528
428	62724	10380
429	62865	10233
430	63035	10091
431	63187	9946
432	63383	9807
433	63568	9667
434	63723	9521
435	63873	9375
436	64015	9228
437	64197	9087
438	64345	8940
439	64503	8795
440	64641	8648
441	64789	8501
442	64930	8354
443	65077	8208
444	65261	8066
445	65411	7919
446	65544	7771
447	65686	7624
448	65853	7480
449	66015	7335
450	66148	7186
451	66318	7042
452	66446	6894
453	66626	6750
454	66767	6603
455	66920	6457
456	67063	6310
457	67234	6165
458	67402	6020
459	67570	5875
460	67696	5727
461	67902	5585
462	68077	5440
463	68216	5292
464	68371	5146
465	68503	4998
466	68637	4850
467	68773	4702
468	68933	4556
469	69111	4411
470	69260	4264
471	69403	4117
472	69560	3970
473	69705	3823
474	69840	3675
475	69983	3528
476	70133	3381
477	70307	3235
478	70490	3090
479	70620	2942
480	70766	2795
481	70901	2647
482	71045	2500
483	71191	2353
484	71330	2206
485	71462	2058
486	71618	1911
487	71759	1764
488	71902	1617
489	72052	1470
490	72175	1322
491	72288	1175
492	72430	1028
493	72573	881
494	72699	734
495	72881	587
496	73018	440
497	73181	293
498	73354	147
499	73495	0
